player,nationality,position,squad,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90
Marko Alvir,hr CRO,MF,Viktoria Plzeň,26-269,1994,9,0,116,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
Emmanuel Antwi,gh GHA,DF,Příbram,24-253,1996,8,2,273,2,0,0,0,0,0,0.66,0.00,0.66,0.66,0.66
Oleksandr Azatskyi,ua UKR,DF,Baník Ostrava,27-000,1994,3,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Pavol Bajza,sk SVK,GK,Slovácko,29-131,1991,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jakub Barac,cz CZE,MF,Slovan Liberec,24-162,1996,3,1,80,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Damián Bariš,sk SVK,MF,Zbrojovka Brno,26-035,1994,5,3,372,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
David Bartek,cz CZE,MF,Bohemians 1905,32-335,1988,4,4,345,1,0,0,0,0,0,0.26,0.00,0.26,0.26,0.26
Lukáš Bartošák,cz CZE,DF,Karviná,30-194,1990,14,14,"1,172",2,2,0,0,3,0,0.15,0.15,0.31,0.15,0.31
Fortune Bassey,ng NGA,FW,České Budĕjov.,22-099,1998,6,1,112,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Jean-David Beauguel,fr FRA,FW,Viktoria Plzeň,28-298,1992,14,5,604,6,1,1,1,0,0,0.89,0.15,1.04,0.75,0.89
Jiří Bederka,cz CZE,DF,Bohemians 1905,25-330,1995,11,10,916,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
František Belej,cz CZE,FW,Příbram,20-319,2000,4,1,99,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Vít Beneš,cz CZE,DF,Sigma Olomouc,32-154,1988,3,2,184,0,1,0,0,0,0,0.00,0.49,0.49,0.00,0.49
Michal Beran,cz CZE,MF,Slovan Liberec,20-144,2000,10,7,610,0,2,0,0,0,0,0.00,0.30,0.30,0.00,0.30
Jaromír Blažej,cz CZE,DF,Opava,17-306,2003,1,1,82,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Isaac Boakye,gh GHA,FW,Příbram,23-299,1997,6,0,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Marek Boháč,cz CZE,GK,FK Pardubice,32-074,1988,14,14,"1,260",0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
Petr Bolek,cz CZE,GK,Karviná,36-214,1984,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
Jan Bořil,cz CZE,DF,Slavia Prague,30-002,1991,11,10,890,3,1,0,0,2,0,0.30,0.10,0.40,0.30,0.40
