Player,Foot,Market Value
Ondrej Kolar,right,7500
Jan Stejskal,-,300
Premysl Kovar,right,100
David Zima,-,3000
David Hovorka,right,2000
Ondrej Kudela,right,1600
Taras Kacharaba,right,800
Jan Boril,right,2500
Alexander Bah,right,2500
Tomas Holes,-,1500
Jakub Hromada,right,650
Petr Sevcik,right,3500
Oscar Dorley,left,2000
Ibrahim Traoré,right,1400
Lukas Masopust,right,3500
Nicolae Stanciu,right,4500
Ondrej Lingr,-,1000
Michal Beran,-,300
Peter Olayinka,right,6000
Lukas Provod,left,1500
Mick van Buren,right,600
Abdallah Sima,right,8000
Petar Musa,-,1700
Jan Kuchta,right,1000
Stanislav Tecl,right,900
Yusuf,-,600
Florin Nita,-,1500
Milan Heca,right,1500
David Hancko,left,2500
Uros Radakovic,right,900
Lukas Stetina,right,800
Ondrej Celustka,right,750
Dominik Plechaty,-,700
David Lischka,left,600
Filip Panak,right,200
Martin Vitik,right,200
Matej Hanousek,-,700
Andreas Vindheim,right,1300
Tomas Wiesner,-,200
Ladislav Krejci,left,2500
Michal Sacek,right,2000
David Pavelka,right,1000
Michal Travnik,-,1000
Filip Soucek,right,800
Jan Fortelny,right,450
Ondrej Zahustel,-,350
Matej Polidar,left,1500
Borek Dockal,-,500
Adam Karabec,right,1200
David Moberg Karlsson,left,1000
Srdjan Plavsic,left,1700
Adam Hlozek,left,1200
Lukas Julis,right,12000
Libor Kozak,right,2500
Martin Minchev,right,900
Ales Hruska,right,500
Jindrich Stanek,-,300
Dominik Svacek,right,100
Jakub Brabec,right,2500
Lukas Hejda,right,1500
Filip Kasa,right,250
David Limbersky,both,450
Matej Hybs,left,400
Milan Havel,right,750
Lukas Kalvach,-,3000
Pavel Bucha,-,2500
Miroslav Kacer,right,600
Tomas Horava,right,450
Jan Kopic,right,2200
Jan Kovarik,left,1000
Simon Falta,left,550
Ales Cermak,right,2000
Pavel Sulc,-,500
Joel Kayamba,right,1400
Adriel Ba Loua,left,1000
Jean-David Beauguel,right,1000
Zdenek Ondrasek,right,1000
Ondrej Mihalik,right,350
Lukas Matejka,-,300
Petr Mikulec,-,250
Jakub Divis,right,200
Jan Seda,-,200
Aleksey Tataev,right,1300
Jakub Klima,-,350
Antonin Krapka,-,250
David Simek,-,200
Marco Tulio,left,400
Robert Mazan,left,300
Dominik Preisler,-,250
Ondrej Rudzan,-,75
Radim Reznik,right,1000
Laco Takacs,-,850
Dominik Janosek,-,850
Milan Jirasek,left,350
Samuel Dancak,-,200
Marek Matejovsky,right,100
Daniel Langhamer,-,75
Tomas Malinsky,right,700
David Doudera,-,300
Michael Hönig,-,50
David Pech,right,100
Lukas Budinsky,both,700
Dominik Masek,both,350
Jakub Fulnek,-,400
Vaclav Drchal,right,650
Tomas Ladra,right,600
Jiri Klima,-,500
Martin Graiciar,right,450
Michal Skoda,left,300
Adam Provaznik,left,150
Filip Nguyen,-,750
Milan Knobloch,-,200
Olivier Vliegen,right,100
Ondrej Karafiat,right,700
Jakub Jugas,right,650
Matej Chalus,-,500
Mohamed Tijani,left,450
Marios Pourzitidis,-,150
Jan Mikula,right,450
Martin Koscelnik,-,450
Michal Fukala,-,450
Kristian Michal,right,100
Radim Cernicky,-,75
Michal Sadilek,left,2500
Kamso Mara,left,900
Michal Fasko,left,350
David Cancola,-,300
Jan Sulc,-,75
Jan Matousek,right,900
Dominik Gembicky,-,25
Jhon Mosquera,left,600
Jakub Pesek,right,600
Michael Rabusic,right,250
Imad Rondic,left,200
Elvis Mashike Sukisa,-,150
Lukas Csano,right,100
Jan Lastuvka,right,350
Viktor Budinsky,right,350
Frantisek Chmiel,both,150
Radovan Murin,right,100
Patrizio Stronati,left,1000
Jakub Pokorny,right,400
Jaroslav Svozil,-,400
Jiri Fleisman,left,300
Gigli Ndefe,both,350
Jan Juroska,-,300
Muhammed Sanneh,right,225
Adam Janos,right,800
Daniel Tetour,-,450
Filip Kaloc,right,300
Jakub Drozd,right,200
Dan Ozvolda,right,100
Martin Fillo,right,400
Daniel Holzer,left,400
Lukas Cienciala,-,200
Pepe Mena,right,300
David Buchta,-,250
Roman Potocny,-,600
Azevedo,both,600
Dominik Martisiak,-,150
Tomas Hykel,-,75
