Game Week,Weekday,Date,Time,Home Team,Score,Away Team,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2015-07-24,17:30 ,Viktoria Plzeň,2–1,Slavia Prague,"11,233",Doosan Arena,Pavel Franek,Match Report,
1,Fri,2015-07-24,19:00 ,Vysočina Jihlava,0–0,Sparta Prague,"3,894",Stadion v Jiráskově ulici,Tomas Kocourek,Match Report,
1,Sat,2015-07-25,17:00 ,Příbram,2–3,Jablonec,"4,182",Energon Aréna,Pavel Královec,Match Report,
1,Sat,2015-07-25,17:00 ,Slovácko,4–3,Dukla Prague,"3,726",Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske,Match Report,
1,Sat,2015-07-25,17:00 ,Zbrojovka Brno,2–1,Baník Ostrava,"5,326",Městský fotbalový stadion Srbská,Libor Kovařík,Match Report,
1,Sat,2015-07-25,20:15 ,Teplice,2–2,Sigma Olomouc,"3,715",Na Stínadlech,Emanuel Marek,Match Report,
1,Sun,2015-07-26,17:00 ,Bohemians 1905,0–1,Fastav Zlín,"4,818",Stadion Ďolíček,Miroslav Zelinka,Match Report,
1,Sun,2015-07-26,20:15 ,Slovan Liberec,4–2,Mladá Boleslav,"5,309",Stadion u Nisy,Michal Paták,Match Report,
,,,,,,,,,,,
2,Sat,2015-08-01,15:00 ,Sparta Prague,3–1,Baník Ostrava,"11,021",Generali Arena,Petr Ardeleánu,Match Report,
2,Sat,2015-08-01,17:00 ,Teplice,2–0,Slovácko,"4,171",Na Stínadlech,Pavel Orel,Match Report,
2,Sat,2015-08-01,17:00 ,Fastav Zlín,1–0,Vysočina Jihlava,"4,627",Stadion Letná,Jiri Jech,Match Report,
2,Sat,2015-08-01,17:00 ,Sigma Olomouc,1–3,Příbram,"4,826",Andrův stadion,Karel Hrubes,Match Report,
2,Sat,2015-08-01,20:15 ,Dukla Prague,1–0,Viktoria Plzeň,"5,182",Stadion Juliska,Ondřej Lerch,Match Report,
2,Sun,2015-08-02,17:00 ,Mladá Boleslav,2–0,Zbrojovka Brno,"3,154",Adidas Aréna,Jan Jilek,Match Report,
2,Sun,2015-08-02,17:00 ,Slavia Prague,2–2,Slovan Liberec,"6,739",Sinobo Stadium,Pavel Královec,Match Report,
2,Sun,2015-08-02,18:00 ,Jablonec,2–2,Bohemians 1905,"4,188",Stadion Střelnice,Michal Paták,Match Report,
,,,,,,,,,,,
3,Fri,2015-08-07,20:15 ,Zbrojovka Brno,1–0,Slavia Prague,"5,090",Městský fotbalový stadion Srbská,Zbyněk Proske,Match Report,
3,Sat,2015-08-08,17:00 ,Příbram,3–2,Teplice,"2,018",Energon Aréna,Jiří Houdek,Match Report,
3,Sat,2015-08-08,17:00 ,Bohemians 1905,1–1,Sigma Olomouc,"3,728",Stadion Ďolíček,Paval Julínek,Match Report,
3,Sat,2015-08-08,20:15 ,Baník Ostrava,2–2,Mladá Boleslav,"6,091",Bazaly,Martin Nenadál,Match Report,
3,Sun,2015-08-09,18:00 ,Viktoria Plzeň,2–2,Slovácko,"10,126",Doosan Arena,Jan Jilek,Match Report,
3,Sun,2015-08-09,19:15 ,Sparta Prague,3–0,Fastav Zlín,"7,960",Generali Arena,Karel Hrubes,Match Report,
3,Mon,2015-08-10,19:00 ,Vysočina Jihlava,1–0,Jablonec,"3,689",Stadion v Jiráskově ulici,Radek Příhoda,Match Report,
3,Mon,2015-08-10,19:00 ,Slovan Liberec,1–1,Dukla Prague,"7,100",Stadion u Nisy,Ondřej Pechanec,Match Report,
,,,,,,,,,,,
4,Fri,2015-08-14,18:30 ,Teplice,2–2,Viktoria Plzeň,"9,361",Na Stínadlech,Karel Hrubes,Match Report,
4,Fri,2015-08-14,20:30 ,Mladá Boleslav,2–4,Sparta Prague,"5,000",Adidas Aréna,Radek Příhoda,Match Report,
4,Sat,2015-08-15,17:00 ,Sigma Olomouc,1–1,Zbrojovka Brno,"5,062",Andrův stadion,Martin Nenadál,Match Report,
4,Sat,2015-08-15,17:00 ,Fastav Zlín,2–0,Baník Ostrava,"5,873",Stadion Letná,Paval Julínek,Match Report,
4,Sat,2015-08-15,20:15 ,Dukla Prague,2–2,Bohemians 1905,"5,068",Stadion Juliska,Jan Jilek,Match Report,
4,Sun,2015-08-16,17:00 ,Slavia Prague,4–0,Vysočina Jihlava,"5,127",Sinobo Stadium,Miroslav Zelinka,Match Report,
4,Sun,2015-08-16,18:00 ,Slovácko,2–1,Příbram,"4,431",Městský fotbalový stadion Miroslava Vale...,Emanuel Marek,Match Report,
4,Sun,2015-08-16,19:15 ,Jablonec,1–1,Slovan Liberec,"5,612",Stadion Střelnice,Zbyněk Proske,Match Report,
,,,,,,,,,,,
5,Fri,2015-08-21,20:15 ,Mladá Boleslav,5–2,Fastav Zlín,"3,241",Adidas Aréna,Pavel Královec,Match Report,
5,Sat,2015-08-22,17:00 ,Bohemians 1905,1–1,Příbram,"4,198",Stadion Ďolíček,Martin Nenadál,Match Report,
5,Sat,2015-08-22,17:00 ,Vysočina Jihlava,1–2,Slovácko,"2,874",Stadion v Jiráskově ulici,Michal Paták,Match Report,
5,Sat,2015-08-22,20:15 ,Baník Ostrava,1–3,Slavia Prague,"4,548",Bazaly,Karel Hrubes,Match Report,
5,Sun,2015-08-23,17:00 ,Zbrojovka Brno,0–3,Jablonec,"4,722",Městský fotbalový stadion Srbská,Jiri Jech,Match Report,
5,Sun,2015-08-23,17:00 ,Slovan Liberec,2–0,Teplice,"5,382",Stadion u Nisy,Jan Jilek,Match Report,
5,Sun,2015-08-23,18:30 ,Viktoria Plzeň,2–0,Sigma Olomouc,"11,205",Doosan Arena,Tomas Kocourek,Match Report,
5,Sun,2015-08-23,19:15 ,Sparta Prague,2–0,Dukla Prague,"9,142",Generali Arena,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
6,Sat,2015-09-12,17:00 ,Teplice,2–1,Bohemians 1905,"5,432",Na Stínadlech,Pavel Královec,Match Report,
6,Sat,2015-09-12,17:00 ,Fastav Zlín,2–1,Zbrojovka Brno,"4,568",Stadion Letná,Tomas Kocourek,Match Report,
6,Sat,2015-09-12,17:00 ,Sigma Olomouc,2–1,Vysočina Jihlava,"4,162",Andrův stadion,Ondřej Lerch,Match Report,
6,Sat,2015-09-12,17:00 ,Slovácko,1–2,Slovan Liberec,"5,884",Městský fotbalový stadion Miroslava Vale...,Radek Příhoda,Match Report,
6,Sat,2015-09-12,20:15 ,Slavia Prague,1–1,Mladá Boleslav,"6,151",Sinobo Stadium,Michal Paták,Match Report,
6,Sun,2015-09-13,15:00 ,Jablonec,1–1,Sparta Prague,"6,012",Stadion Střelnice,Jan Jilek,Match Report,
6,Sun,2015-09-13,18:30 ,Příbram,0–4,Viktoria Plzeň,"6,787",Energon Aréna,Miroslav Zelinka,Match Report,
6,Mon,2015-09-14,18:00 ,Dukla Prague,4–1,Baník Ostrava,"2,046",Stadion Juliska,Zbyněk Proske,Match Report,
,,,,,,,,,,,
7,Fri,2015-09-18,18:00 ,Vysočina Jihlava,2–2,Dukla Prague,"2,893",Stadion v Jiráskově ulici,Jiri Jech,Match Report,
7,Sat,2015-09-19,17:00 ,Baník Ostrava,1–2,Jablonec,"2,151",Bazaly,Ondřej Lerch,Match Report,
7,Sat,2015-09-19,17:00 ,Fastav Zlín,0–2,Slavia Prague,"5,687",Stadion Letná,Jan Jilek,Match Report,
7,Sat,2015-09-19,17:00 ,Zbrojovka Brno,2–0,Slovácko,"3,502",Městský fotbalový stadion Srbská,Petr Ardeleánu,Match Report,
7,Sat,2015-09-19,20:15 ,Mladá Boleslav,4–3,Teplice,"3,268",Adidas Aréna,Zbyněk Proske,Match Report,
7,Sun,2015-09-20,15:00 ,Bohemians 1905,0–1,Viktoria Plzeň,"5,000",Stadion Ďolíček,Michal Paták,Match Report,
7,Sun,2015-09-20,17:00 ,Sparta Prague,4–0,Sigma Olomouc,"7,722",Generali Arena,Martin Nenadál,Match Report,
7,Sun,2015-09-20,18:00 ,Slovan Liberec,3–0,Příbram,"3,527",Stadion u Nisy,Karel Hrubes,Match Report,
,,,,,,,,,,,
8,Fri,2015-09-25,20:15 ,Jablonec,1–2,Mladá Boleslav,"2,236",Stadion Střelnice,Petr Ardeleánu,Match Report,
8,Sat,2015-09-26,15:30 ,Slovácko,1–0,Bohemians 1905,"3,960",Městský fotbalový stadion Miroslava Vale...,Tomas Kocourek,Match Report,
8,Sat,2015-09-26,15:30 ,Sigma Olomouc,1–1,Fastav Zlín,"4,078",Andrův stadion,Radek Příhoda,Match Report,
8,Sat,2015-09-26,15:30 ,Teplice,1–0,Baník Ostrava,"3,228",Na Stínadlech,Jiří Houdek,Match Report,
8,Sat,2015-09-26,15:30 ,Příbram,4–1,Vysočina Jihlava,"1,936",Energon Aréna,Jan Jilek,Match Report,
8,Sat,2015-09-26,15:30 ,Dukla Prague,1–2,Zbrojovka Brno,"1,852",Stadion Juliska,Pavel Orel,Match Report,
8,Sat,2015-09-26,18:15 ,Viktoria Plzeň,2–1,Slovan Liberec,"10,762",Doosan Arena,Emanuel Marek,Match Report,
8,Sun,2015-09-27,15:00 ,Slavia Prague,1–0,Sparta Prague,"17,663",Sinobo Stadium,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
9,Fri,2015-10-02,20:15 ,Baník Ostrava,1–0,Sigma Olomouc,"7,329",Bazaly,Pavel Orel,Match Report,
9,Sat,2015-10-03,15:00 ,Mladá Boleslav,4–0,Příbram,"3,127",Adidas Aréna,Radek Příhoda,Match Report,
9,Sat,2015-10-03,15:00 ,Zbrojovka Brno,0–4,Teplice,"3,422",Městský fotbalový stadion Srbská,Michal Paták,Match Report,
9,Sat,2015-10-03,18:15 ,Fastav Zlín,2–2,Jablonec,"3,694",Stadion Letná,Emanuel Marek,Match Report,
9,Sun,2015-10-04,14:30 ,Slavia Prague,1–1,Dukla Prague,"10,547",Sinobo Stadium,Pavel Královec,Match Report,
9,Sun,2015-10-04,18:00 ,Slovan Liberec,3–1,Bohemians 1905,"4,875",Stadion u Nisy,Jiri Jech,Match Report,
9,Sun,2015-10-04,18:00 ,Sparta Prague,4–0,Slovácko,"7,108",Generali Arena,Tomas Kocourek,Match Report,
9,Sun,2015-10-04,18:00 ,Vysočina Jihlava,2–4,Viktoria Plzeň,"3,707",Stadion v Jiráskově ulici,Karel Hrubes,Match Report,
,,,,,,,,,,,
10,Fri,2015-10-16,20:15 ,Dukla Prague,1–1,Mladá Boleslav,"1,353",Stadion Juliska,Karel Hrubes,Match Report,
10,Sat,2015-10-17,14:30 ,Jablonec,0–0,Slavia Prague,"3,042",Stadion Střelnice,Radek Příhoda,Match Report,
10,Sat,2015-10-17,17:00 ,Bohemians 1905,1–1,Zbrojovka Brno,"4,093",Stadion Ďolíček,Zbyněk Proske,Match Report,
10,Sat,2015-10-17,17:00 ,Teplice,0–1,Vysočina Jihlava,"2,841",Na Stínadlech,Petr Ardeleánu,Match Report,
10,Sat,2015-10-17,17:00 ,Sigma Olomouc,1–1,Slovan Liberec,"3,723",Andrův stadion,Michal Paták,Match Report,
10,Sat,2015-10-17,17:00 ,Slovácko,2–1,Baník Ostrava,"5,134",Městský fotbalový stadion Miroslava Vale...,Jiri Jech,Match Report,
10,Sat,2015-10-17,20:15 ,Viktoria Plzeň,4–2,Fastav Zlín,"9,877",Doosan Arena,Ondřej Lerch,Match Report,
10,Sun,2015-10-18,15:00 ,Příbram,0–4,Sparta Prague,"6,827",Energon Aréna,Pavel Královec,Match Report,
,,,,,,,,,,,
11,Fri,2015-10-23,20:15 ,Slavia Prague,0–2,Sigma Olomouc,"5,321",Sinobo Stadium,Pavel Franek,Match Report,
11,Sat,2015-10-24,17:00 ,Fastav Zlín,1–2,Teplice,"4,109",Stadion Letná,Zbyněk Proske,Match Report,
11,Sat,2015-10-24,17:00 ,Baník Ostrava,0–2,Příbram,"3,538",Bazaly,Michal Paták,Match Report,
11,Sat,2015-10-24,17:00 ,Mladá Boleslav,4–1,Slovácko,"3,107",Adidas Aréna,Ondřej Lerch,Match Report,
11,Sat,2015-10-24,20:15 ,Jablonec,3–3,Dukla Prague,"1,230",Stadion Střelnice,Jiri Jech,Match Report,
11,Sun,2015-10-25,16:00 ,Zbrojovka Brno,1–0,Viktoria Plzeň,"8,050",Městský fotbalový stadion Srbská,Tomas Kocourek,Match Report,
11,Sun,2015-10-25,17:00 ,Vysočina Jihlava,1–1,Slovan Liberec,"3,149",Stadion v Jiráskově ulici,Miroslav Zelinka,Match Report,
11,Sun,2015-10-25,18:00 ,Sparta Prague,3–0,Bohemians 1905,"10,681",Generali Arena,Karel Hrubes,Match Report,
,,,,,,,,,,,
12,Fri,2015-10-30,18:00 ,Dukla Prague,1–0,Fastav Zlín,"1,332",Stadion Juliska,Michal Paták,Match Report,
12,Sat,2015-10-31,17:00 ,Příbram,1–1,Zbrojovka Brno,"2,268",Energon Aréna,Ondřej Lerch,Match Report,
12,Sat,2015-10-31,17:00 ,Sigma Olomouc,1–2,Mladá Boleslav,"4,161",Andrův stadion,Jiří Houdek,Match Report,
12,Sat,2015-10-31,17:00 ,Slovácko,1–1,Jablonec,"3,720",Městský fotbalový stadion Miroslava Vale...,Miroslav Zelinka,Match Report,
12,Sat,2015-10-31,17:00 ,Bohemians 1905,2–1,Vysočina Jihlava,"4,161",Stadion Ďolíček,Radek Příhoda,Match Report,
12,Sat,2015-10-31,20:15 ,Slovan Liberec,2–1,Baník Ostrava,"3,378",Stadion u Nisy,Karel Hrubes,Match Report,
12,Sun,2015-11-01,15:00 ,Viktoria Plzeň,2–1,Sparta Prague,"11,710",Doosan Arena,Radek Příhoda,Match Report,
12,Sun,2015-11-01,18:30 ,Teplice,0–1,Slavia Prague,"6,871",Na Stínadlech,Tomas Kocourek,Match Report,
,,,,,,,,,,,
13,Fri,2015-11-06,20:15 ,Jablonec,4–0,Sigma Olomouc,"1,186",Stadion Střelnice,Karel Hrubes,Match Report,
13,Sat,2015-11-07,17:00 ,Dukla Prague,0–1,Příbram,"1,521",Stadion Juliska,Petr Ardeleánu,Match Report,
13,Sat,2015-11-07,17:00 ,Fastav Zlín,2–1,Slovácko,"5,800",Stadion Letná,Radek Příhoda,Match Report,
13,Sat,2015-11-07,20:15 ,Mladá Boleslav,6–1,Vysočina Jihlava,"2,685",Adidas Aréna,Pavel Královec,Match Report,
13,Sun,2015-11-08,15:00 ,Slavia Prague,2–2,Bohemians 1905,"13,976",Sinobo Stadium,Ondřej Lerch,Match Report,
13,Sun,2015-11-08,17:00 ,Baník Ostrava,0–4,Viktoria Plzeň,"5,032",Bazaly,Emanuel Marek,Match Report,
13,Sun,2015-11-08,18:00 ,Zbrojovka Brno,3–1,Slovan Liberec,"4,524",Městský fotbalový stadion Srbská,Ondřej Pechanec,Match Report,
13,Sun,2015-11-08,19:00 ,Sparta Prague,3–1,Teplice,"7,766",Generali Arena,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
14,Fri,2015-11-20,18:00 ,Vysočina Jihlava,2–0,Zbrojovka Brno,"2,759",Stadion v Jiráskově ulici,Karel Hrubes,Match Report,
14,Sat,2015-11-21,17:00 ,Bohemians 1905,3–1,Baník Ostrava,"4,952",Stadion Ďolíček,Petr Ardeleánu,Match Report,
14,Sat,2015-11-21,17:00 ,Příbram,1–2,Fastav Zlín,"2,182",Energon Aréna,Miroslav Zelinka,Match Report,
14,Sat,2015-11-21,17:00 ,Slovácko,0–2,Slavia Prague,"4,548",Městský fotbalový stadion Miroslava Vale...,Pavel Orel,Match Report,
14,Sat,2015-11-21,17:00 ,Sigma Olomouc,0–0,Dukla Prague,"3,439",Andrův stadion,Zbyněk Proske,Match Report,
14,Sat,2015-11-21,20:15 ,Viktoria Plzeň,1–0,Mladá Boleslav,"10,257",Doosan Arena,Jan Jilek,Match Report,
14,Sun,2015-11-22,15:00 ,Slovan Liberec,1–0,Sparta Prague,"8,165",Stadion u Nisy,Michal Paták,Match Report,
