Date,Weekday,Time,Home Team,Away Team,Home Team Goals,Away Team Goals,Venue,Referee
2015-07-24,Fri,17:30 ,Viktoria Plzeň,Slavia Prague,2,1,Doosan Arena,Pavel Franek
2015-07-24,Fri,19:00 ,Vysočina Jihlava,Sparta Prague,0,0,Stadion v Jiráskově ulici,Tomas Kocourek
2015-07-25,Sat,17:00 ,Příbram,Jablonec,2,3,Energon Aréna,Pavel Královec
2015-07-25,Sat,17:00 ,Slovácko,Dukla Prague,4,3,Městský fotbalový stadion Miroslava Vale...,Zbyněk Proske
2015-07-25,Sat,17:00 ,Zbrojovka Brno,Baník Ostrava,2,1,Městský fotbalový stadion Srbská,Libor Kovařík
2015-07-25,Sat,20:15 ,Teplice,Sigma Olomouc,2,2,Na Stínadlech,Emanuel Marek
2015-07-26,Sun,17:00 ,Bohemians 1905,Fastav Zlín,0,1,Stadion Ďolíček,Miroslav Zelinka
2015-07-26,Sun,20:15 ,Slovan Liberec,Mladá Boleslav,4,2,Stadion u Nisy,Michal Paták
2015-08-01,Sat,15:00 ,Sparta Prague,Baník Ostrava,3,1,Generali Arena,Petr Ardeleánu
2015-08-01,Sat,17:00 ,Teplice,Slovácko,2,0,Na Stínadlech,Pavel Orel
2015-08-01,Sat,17:00 ,Fastav Zlín,Vysočina Jihlava,1,0,Stadion Letná,Jiri Jech
2015-08-01,Sat,17:00 ,Sigma Olomouc,Příbram,1,3,Andrův stadion,Karel Hrubes
2015-08-01,Sat,20:15 ,Dukla Prague,Viktoria Plzeň,1,0,Stadion Juliska,Ondřej Lerch
2015-08-02,Sun,17:00 ,Mladá Boleslav,Zbrojovka Brno,2,0,Adidas Aréna,Jan Jilek
2015-08-02,Sun,17:00 ,Slavia Prague,Slovan Liberec,2,2,Sinobo Stadium,Pavel Královec
2015-08-02,Sun,18:00 ,Jablonec,Bohemians 1905,2,2,Stadion Střelnice,Michal Paták
2015-08-07,Fri,20:15 ,Zbrojovka Brno,Slavia Prague,1,0,Městský fotbalový stadion Srbská,Zbyněk Proske
2015-08-08,Sat,17:00 ,Příbram,Teplice,3,2,Energon Aréna,Jiří Houdek
2015-08-08,Sat,17:00 ,Bohemians 1905,Sigma Olomouc,1,1,Stadion Ďolíček,Paval Julínek
2015-08-08,Sat,20:15 ,Baník Ostrava,Mladá Boleslav,2,2,Bazaly,Martin Nenadál
2015-08-09,Sun,18:00 ,Viktoria Plzeň,Slovácko,2,2,Doosan Arena,Jan Jilek
2015-08-09,Sun,19:15 ,Sparta Prague,Fastav Zlín,3,0,Generali Arena,Karel Hrubes
2015-08-10,Mon,19:00 ,Vysočina Jihlava,Jablonec,1,0,Stadion v Jiráskově ulici,Radek Příhoda
2015-08-10,Mon,19:00 ,Slovan Liberec,Dukla Prague,1,1,Stadion u Nisy,Ondřej Pechanec
2015-08-14,Fri,18:30 ,Teplice,Viktoria Plzeň,2,2,Na Stínadlech,Karel Hrubes
2015-08-14,Fri,20:30 ,Mladá Boleslav,Sparta Prague,2,4,Adidas Aréna,Radek Příhoda
2015-08-15,Sat,17:00 ,Sigma Olomouc,Zbrojovka Brno,1,1,Andrův stadion,Martin Nenadál
2015-08-15,Sat,17:00 ,Fastav Zlín,Baník Ostrava,2,0,Stadion Letná,Paval Julínek
2015-08-15,Sat,20:15 ,Dukla Prague,Bohemians 1905,2,2,Stadion Juliska,Jan Jilek
2015-08-16,Sun,17:00 ,Slavia Prague,Vysočina Jihlava,4,0,Sinobo Stadium,Miroslav Zelinka
2015-08-16,Sun,18:00 ,Slovácko,Příbram,2,1,Městský fotbalový stadion Miroslava Vale...,Emanuel Marek
2015-08-16,Sun,19:15 ,Jablonec,Slovan Liberec,1,1,Stadion Střelnice,Zbyněk Proske
2015-08-21,Fri,20:15 ,Mladá Boleslav,Fastav Zlín,5,2,Adidas Aréna,Pavel Královec
2015-08-22,Sat,17:00 ,Bohemians 1905,Příbram,1,1,Stadion Ďolíček,Martin Nenadál
2015-08-22,Sat,17:00 ,Vysočina Jihlava,Slovácko,1,2,Stadion v Jiráskově ulici,Michal Paták
2015-08-22,Sat,20:15 ,Baník Ostrava,Slavia Prague,1,3,Bazaly,Karel Hrubes
2015-08-23,Sun,17:00 ,Zbrojovka Brno,Jablonec,0,3,Městský fotbalový stadion Srbská,Jiri Jech
2015-08-23,Sun,17:00 ,Slovan Liberec,Teplice,2,0,Stadion u Nisy,Jan Jilek
2015-08-23,Sun,18:30 ,Viktoria Plzeň,Sigma Olomouc,2,0,Doosan Arena,Tomas Kocourek
2015-08-23,Sun,19:15 ,Sparta Prague,Dukla Prague,2,0,Generali Arena,Miroslav Zelinka
2015-09-12,Sat,17:00 ,Teplice,Bohemians 1905,2,1,Na Stínadlech,Pavel Královec
2015-09-12,Sat,17:00 ,Fastav Zlín,Zbrojovka Brno,2,1,Stadion Letná,Tomas Kocourek
2015-09-12,Sat,17:00 ,Sigma Olomouc,Vysočina Jihlava,2,1,Andrův stadion,Ondřej Lerch
2015-09-12,Sat,17:00 ,Slovácko,Slovan Liberec,1,2,Městský fotbalový stadion Miroslava Vale...,Radek Příhoda
2015-09-12,Sat,20:15 ,Slavia Prague,Mladá Boleslav,1,1,Sinobo Stadium,Michal Paták
2015-09-13,Sun,15:00 ,Jablonec,Sparta Prague,1,1,Stadion Střelnice,Jan Jilek
2015-09-13,Sun,18:30 ,Příbram,Viktoria Plzeň,0,4,Energon Aréna,Miroslav Zelinka
2015-09-14,Mon,18:00 ,Dukla Prague,Baník Ostrava,4,1,Stadion Juliska,Zbyněk Proske
2015-09-18,Fri,18:00 ,Vysočina Jihlava,Dukla Prague,2,2,Stadion v Jiráskově ulici,Jiri Jech
2015-09-19,Sat,17:00 ,Baník Ostrava,Jablonec,1,2,Bazaly,Ondřej Lerch
2015-09-19,Sat,17:00 ,Fastav Zlín,Slavia Prague,0,2,Stadion Letná,Jan Jilek
2015-09-19,Sat,17:00 ,Zbrojovka Brno,Slovácko,2,0,Městský fotbalový stadion Srbská,Petr Ardeleánu
2015-09-19,Sat,20:15 ,Mladá Boleslav,Teplice,4,3,Adidas Aréna,Zbyněk Proske
